Gamma,Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
0.01,15,16,0.1,1000,0.14136613188650704,0.1096118133639369,0.81,0.875
0.01,15,16,0.1,1500,0.13923366994431238,0.10669965728699914,0.815,0.88
0.01,15,16,0.1,2000,0.1246074048783884,0.08668312315950386,0.825,0.9
0.01,15,16,0.13,1000,0.14060677460387805,0.10873907643110564,0.81,0.88
0.01,15,16,0.13,1500,0.12705808088673487,0.08930162440440113,0.83,0.89
0.01,15,16,0.13,2000,0.0727820982097079,0.04109302901403968,0.9,0.965
0.01,15,16,0.15,1000,0.13937384010198048,0.10744451393914993,0.815,0.88
0.01,15,16,0.15,1500,0.09887865640285494,0.054686474799626475,0.865,0.955
0.01,15,16,0.15,2000,0.06470415830090938,0.03882777564682369,0.915,0.955
0.01,15,32,0.1,1000,0.14347129750482068,0.11426588875314067,0.815,0.875
0.01,15,32,0.1,1500,0.14203920965891403,0.11135172546094217,0.815,0.875
0.01,15,32,0.1,2000,0.14120780681309916,0.10909192666881182,0.81,0.875
0.01,15,32,0.13,1000,0.14228362747902282,0.11197375359979461,0.815,0.875
0.01,15,32,0.13,1500,0.14175371587935148,0.11067442945051136,0.81,0.88
0.01,15,32,0.13,2000,0.14035511228938627,0.10859738164068845,0.815,0.88
0.01,15,32,0.15,1000,0.14193976088723662,0.11110424696732987,0.815,0.875
0.01,15,32,0.15,1500,0.1415185060716444,0.1105020018931496,0.81,0.88
0.01,15,32,0.15,2000,0.1385368973150186,0.1067993949122696,0.815,0.885
0.01,15,64,0.1,1000,0.15813563329411381,0.13047633252002871,0.82,0.85
0.01,15,64,0.1,1500,0.14609640010567154,0.1191151227950986,0.815,0.88
0.01,15,64,0.1,2000,0.14207634881620673,0.1104234041044752,0.82,0.875
0.01,15,64,0.13,1000,0.1481390196216145,0.1209824685916479,0.82,0.875
0.01,15,64,0.13,1500,0.14437027597346044,0.11654818517627685,0.815,0.885
0.01,15,64,0.13,2000,0.14138726348482128,0.10892638733798984,0.815,0.875
0.01,15,64,0.15,1000,0.14572052198930133,0.11815455655545794,0.815,0.875
0.01,15,64,0.15,1500,0.14399570061697692,0.11570076006400773,0.815,0.88
0.01,15,64,0.15,2000,0.14118177988357317,0.10844053856187826,0.815,0.88
0.1,15,16,0.1,1000,0.06143582057186823,0.02979935222948125,0.92,0.975
0.1,15,16,0.1,1500,0.053012499497742616,0.02653212406202935,0.93,0.97
0.1,15,16,0.1,2000,0.05081062096150179,0.027748943219856003,0.935,0.965
0.1,15,16,0.13,1000,0.054418710150071326,0.0263478302868876,0.93,0.97
0.1,15,16,0.13,1500,0.05099859180173303,0.026823126961858255,0.935,0.965
0.1,15,16,0.13,2000,0.048874164341422714,0.028212835446275283,0.94,0.97
0.1,15,16,0.15,1000,0.053038816681518455,0.026249845322190685,0.93,0.97
0.1,15,16,0.15,1500,0.049828198685965705,0.026879464716920095,0.94,0.97
0.1,15,16,0.15,2000,0.04812277153070197,0.028528069933256617,0.94,0.97
0.1,15,32,0.1,1000,0.14140835079720498,0.1126317241861981,0.825,0.845
0.1,15,32,0.1,1500,0.08961620318655472,0.052881981564060127,0.88,0.965
0.1,15,32,0.1,2000,0.058212509110242984,0.0288940405944887,0.925,0.975
0.1,15,32,0.13,1000,0.12320886570703919,0.08744218247525609,0.835,0.88
0.1,15,32,0.13,1500,0.059327474544670925,0.029618000875309917,0.935,0.97
0.1,15,32,0.13,2000,0.053630709655004355,0.027394016826114153,0.935,0.97
0.1,15,32,0.15,1000,0.09072499769582917,0.052899001670752385,0.875,0.965
0.1,15,32,0.15,1500,0.05553156605908697,0.027589179560871403,0.93,0.97
0.1,15,32,0.15,2000,0.052506298214682404,0.02772465365149198,0.935,0.965
0.1,15,64,0.1,1000,0.1452449435429118,0.11728405314444497,0.815,0.84
0.1,15,64,0.1,1500,0.14355296231120546,0.11572440278566215,0.825,0.845
0.1,15,64,0.1,2000,0.13639912871547324,0.10548227875543077,0.825,0.85
0.1,15,64,0.13,1000,0.1444871926859212,0.11660211867858834,0.82,0.845
0.1,15,64,0.13,1500,0.1381777948162558,0.10809616211723892,0.825,0.85
0.1,15,64,0.13,2000,0.09301657447735946,0.055853416188824036,0.87,0.96
0.1,15,64,0.15,1000,0.143613133533654,0.11563505092023413,0.825,0.845
0.1,15,64,0.15,1500,0.12607280360301182,0.09142149481060119,0.83,0.875
0.1,15,64,0.15,2000,0.06825748351273957,0.03587635031779643,0.92,0.965
1,15,16,0.1,1000,0.24700536473562265,0.2458478506385169,0.57,0.56
1,15,16,0.1,1500,0.24154113470085903,0.2409361892329677,0.585,0.58
1,15,16,0.1,2000,0.2316326179061028,0.2421589194098138,0.635,0.575
1,15,16,0.13,1000,0.24539663224306138,0.24401313810310066,0.58,0.585
1,15,16,0.13,1500,0.23249548626077846,0.24015168051444952,0.635,0.57
1,15,16,0.13,2000,0.2307898606893376,0.24330847593328422,0.64,0.57
1,15,16,0.15,1000,0.24261271687377145,0.2427708969585855,0.585,0.59
1,15,16,0.15,1500,0.21878104115051974,0.24245980727116007,0.655,0.56
1,15,16,0.15,2000,0.20885175460474642,0.23028057815784933,0.675,0.595
1,15,32,0.1,1000,0.2474473751740379,0.24700723093373297,0.55,0.57
1,15,32,0.1,1500,0.24734754822298888,0.24647237117439516,0.56,0.565
1,15,32,0.1,2000,0.24673862690697207,0.24562616128938128,0.585,0.59
1,15,32,0.13,1000,0.2474070637097146,0.2468547238065694,0.56,0.57
1,15,32,0.13,1500,0.24684721430121886,0.245328070135905,0.57,0.59
1,15,32,0.13,2000,0.24375389634580485,0.24361112497893786,0.59,0.595
1,15,32,0.15,1000,0.2473411335835758,0.24664278715553822,0.56,0.555
1,15,32,0.15,1500,0.24599040538010478,0.24417549704796193,0.585,0.575
1,15,32,0.15,2000,0.23739018548432383,0.23934667416208172,0.6,0.575
1,15,64,0.1,1000,0.24746919274115092,0.2470846448585052,0.55,0.57
1,15,64,0.1,1500,0.24747080132551738,0.2467062616018107,0.55,0.565
1,15,64,0.1,2000,0.2474515208260884,0.24734699346586603,0.56,0.565
1,15,64,0.13,1000,0.2474648140339346,0.24702510351011966,0.55,0.57
1,15,64,0.13,1500,0.2474507527000545,0.24656856899621954,0.555,0.56
1,15,64,0.13,2000,0.2473707453565509,0.2471228084110345,0.565,0.555
1,15,64,0.15,1000,0.24746057640329727,0.24699808161045417,0.55,0.565
1,15,64,0.15,1500,0.24742302180103326,0.24645305727911154,0.55,0.56
1,15,64,0.15,2000,0.24721873978162448,0.2467252753491063,0.57,0.56
10,15,16,0.1,1000,0.24919289938516154,0.249149252150919,0.515,0.515
10,15,16,0.1,1500,0.2491159740164535,0.24905397908839746,0.515,0.515
10,15,16,0.1,2000,0.2480606585814851,0.24844496303333188,0.55,0.525
10,15,16,0.13,1000,0.24916915012324264,0.24913171867196676,0.515,0.515
10,15,16,0.13,1500,0.2483907547973933,0.24853051431372325,0.545,0.53
10,15,16,0.13,2000,0.2381362303686305,0.25248697626901256,0.58,0.535
10,15,16,0.15,1000,0.24913137174648659,0.24910430464433603,0.525,0.515
10,15,16,0.15,1500,0.24560619932469763,0.2474516240682084,0.54,0.535
10,15,16,0.15,2000,0.23544605771826096,0.25707604362267766,0.605,0.545
10,15,32,0.1,1000,0.24921478988430884,0.24914787777072345,0.525,0.515
10,15,32,0.1,1500,0.24920553251491234,0.24905926880149976,0.51,0.5
10,15,32,0.1,2000,0.24918503501745748,0.2491249029196585,0.515,0.525
10,15,32,0.13,1000,0.24921051520016987,0.2491397325026147,0.52,0.52
10,15,32,0.13,1500,0.2491931735933672,0.2490375663537281,0.51,0.51
10,15,32,0.13,2000,0.24913001624711534,0.24909154324771599,0.52,0.52
10,15,32,0.15,1000,0.24920742354070793,0.2491349836297068,0.515,0.52
10,15,32,0.15,1500,0.24917848634538003,0.2490214495335334,0.525,0.51
10,15,32,0.15,2000,0.24900256772364662,0.24900326726981775,0.525,0.515
10,15,64,0.1,1000,0.24921909447018778,0.24916398783490684,0.52,0.52
10,15,64,0.1,1500,0.24923039479580025,0.24903934237736286,0.525,0.49
10,15,64,0.1,2000,0.24922991540898437,0.24909601013648502,0.485,0.495
10,15,64,0.13,1000,0.24923109506656094,0.24914233206312236,0.52,0.52
10,15,64,0.13,1500,0.24922858430642797,0.2490085798955283,0.525,0.49
10,15,64,0.13,2000,0.24921557031449745,0.2490903721026363,0.495,0.51
10,15,64,0.15,1000,0.2492357903830492,0.24913872164615136,0.52,0.52
10,15,64,0.15,1500,0.24922590923446072,0.2489928714021331,0.525,0.5
10,15,64,0.15,2000,0.2492053392562827,0.24908640306634502,0.505,0.515
